콘텐츠 아이디2 (CID),제목,1단계 분류코드,2단계 분류코드,캐치프레이즈,지역 (시_도),지역 (시_군_구),cluster
2716757,하평해변(동해),A01,A0101,조용하고 한적하게  휴식하기 좋은 해변,강원특별자치도,동해시,1
2714816,낙산항,A01,A0101,조용하고 작은 어촌 분위기가 물씬 풍기는 항구,강원특별자치도,양양군,1
585605,  진해변,A01,A0101,조용하고 아늑한 분위기가 다시 한번 찾게 만드는 해수욕장,강원특별자치도,강릉시,1
127737,쉰움산,A01,A0101,"제단, 돌탑이 즐비한 무속의 성지 쉰움산",강원특별자치도,삼척시,1
127297,태화산(강원),A01,A0101,"정오를 알리던 포, 오포대",강원특별자치도,영월군,1
127843,조양산(정선),A01,A0101,정선 5일장 등산 코스,강원특별자치도,정선군,1
127844,기우산(정선),A01,A0101,정상에서 보는 정선읍 전경이 일품인 기우산,강원특별자치도,정선군,1
125593,가리산(홍천),A01,A0101,정상에 보는 소양호의 풍경이 등산객들의 발을 묶는 곳,강원특별자치도,홍천군,1
1333464,백룡동굴 (강원고생대 국가지질공원),A01,A0101,"절대비경, 백룡동굴",강원특별자치도,평창군,1
561051,삽슬봉(아이스크림 고지),A01,A0101,전쟁의 아픔이 서려있는 곳,강원특별자치도,철원군,1
125725,추곡약수터,A01,A0101,전설이 서려 있는 춘천 북산면에 있는 샘터,강원특별자치도,춘천시,1
2710611,오대산 월정사 전나무숲길,A01,A0101,전나무숲에서 즐기는 피톤치드 삼림욕,강원특별자치도,평창군,1
2774703,경포생태저류지,A01,A0101,저류지 중심을 가로질러 메타세쿼이아 길이 열린다,강원특별자치도,강릉시,1
2514820,가진항,A01,A0101,잔잔함과 조용함 때론 거침이 함께 살아있는 가진항,강원특별자치도,고성군,1
2714543,오분해변,A01,A0101,잔잔한 파도와 조용한 해변이 낭만적인 해수욕장,강원특별자치도,삼척시,1
125681,지경리해변,A01,A0101,잔잔한 파도와 부드러운 모래사장이 매력적인 해변,강원특별자치도,양양군,1
127874,송지호 해수욕장,A01,A0101,잔잔한 파도에 아이와 함께 놀기 좋은 해수욕장,강원특별자치도,고성군,1
126777,초도해변,A01,A0101,잔잔한 파도소리 들으며 휴식하기 좋은 해변,강원특별자치도,고성군,1
585585,순긋해변,A01,A0101,잔잔한 파도 소리와 아늑하고 조용한 분위기가 지친 일상을 치유하는 해변,강원특별자치도,강릉시,1
125647,팔랑폭포,A01,A0101,작지만 힘차게 쏟아지는 폭포,강원특별자치도,양구군,1
2714695,천곡항,A01,A0101,작지만 아름다운 해변풍경을 가진 항구,강원특별자치도,동해시,1
129669,아침가리계곡,A01,A0101,작은 협곡 사이로 흐르는 맑은 물과 계곡을 따라 펼쳐진 원시림,강원특별자치도,인제군,1
129587,전진항,A01,A0101,작은 어선들이 옹기종기 모여있는 작은 항구,강원특별자치도,양양군,1
2782561,백도항/문암1리항,A01,A0101,작은 배들이 옹기종기 모여 부드럽게 일렁이는 항구의 모습,강원특별자치도,고성군,1
126785,가진해변,A01,A0101,작고 아담한 에메랄드 빛의 바닷가,강원특별자치도,고성군,1
2914353,배후령고개,A01,A0101,자전거 라이딩 명소가 된 해발 600미터의 산길,강원특별자치도,춘천시,1
2776832,삼척활기자연휴양림,A01,A0101,자연휴양림,강원특별자치도,삼척시,1
2549237,강원도 자연환경연구공원,A01,A0101,자연환경을 배우고 체험하는 곳,강원특별자치도,홍천군,1
127805,국립 미천골자연휴양림,A01,A0101,"자연이 허락한 품, 산림과 계곡 속에 위치한 자연휴양림",강원특별자치도,양양군,1
125589,낙산도립공원,A01,A0101,자연이 주는 휴식,강원특별자치도,양양군,1
127841,백석봉(정선),A01,A0101,자연이 아름다운 공간,강원특별자치도,정선군,1
125412,국립 용대자연휴양림,A01,A0101,자연이 아름다운 공간,강원특별자치도,인제군,1
127583,선달산,A01,A0101,자연이 아름다운 공간,강원특별자치도,영월군,1
129006,섬강(섬강유원지),A01,A0101,자연이 아름다운 공간,강원특별자치도,횡성군,1
2711376,백두대간 생태수목원,A01,A0101,자연이 살아숨쉬는 백두대간 생태수목원,강원특별자치도,정선군,1
2549250,양구생태식물원,A01,A0101,자연이 살아 숨쉬는 곳,강원특별자치도,양구군,1
2770458,고마루 카르스트,A01,A0101,자연이 만든 신비한 지형,강원특별자치도,평창군,1
125666,소금강 (강원고생대 국가지질공원),A01,A0101,자연의 신비로움이 담긴 기암절벽이 절경인 곳,강원특별자치도,정선군,1
126729,환선굴 (대이리 동굴지대),A01,A0101,자연의 신비로움을 느낄수 있는 곳,강원특별자치도,삼척시,2
2638573,두루웰 자연휴양림,A01,A0101,자연을 만끽하며 다양한 숲 속 문화를 즐기는 곳 !,강원특별자치도,철원군,1
2714539,이효석 문학의 숲,A01,A0101,자연에서 즐기는 여행,강원특별자치도,평창군,1
2714550,양구 수목원,A01,A0101,자연생태의 모든 것을 오감으로 느끼고 체험할 수 있는곳,강원특별자치도,양구군,2
407172,피노키오청소년수련원,A01,A0101,자연과 함께하는 힐링 공간,강원특별자치도,원주시,1
2785632,비밀의정원,A01,A0101,자연경관이 아름다운 곳,강원특별자치도,인제군,1
2785719,오장폭포,A01,A0101,자연경관이 아름다운 곳,강원특별자치도,정선군,1
2710610,하중도수변생태공원,A01,A0101,자연경관을 즐길 수 있는 숨은 힐링 명소,강원특별자치도,춘천시,2
2508606,양구DMZ,A01,A0101,자연경관을 둘러볼 수 있는 생태관광지,강원특별자치도,양구군,2
2764587,강촌환경생태연못,A01,A0101,자연 속에서의 휴식,강원특별자치도,춘천시,1
688257,국립 백운산자연휴양림(원주),A01,A0101,자연 속에서 휴식할 수 있는 휴양림,강원특별자치도,원주시,2
2714534,산양증식복원센터,A01,A0101,자연 속에 있는 산양들의 모습을 만날 수 있는 곳,강원특별자치도,양구군,2
2735605,천진항,A01,A0101,자연 속 힐링여행,강원특별자치도,고성군,1
2728424,연가리계곡,A01,A0101,자연 그대로의 원시림과 청정한 계곡이 일품인 곳,강원특별자치도,인제군,1
2616102,동강 (강원고생대 국가지질공원),A01,A0101,자연 그대로의 모습을 담고 있는 생태계의 보고,강원특별자치도,정선군,1
125417,국립 대관령자연휴양림,A01,A0101,자연 그대로를 보존하고 있는 휴양림,강원특별자치도,강릉시,1
128754,법흥계곡,A01,A0101,자연 그대로를 간직한 청정계곡,강원특별자치도,영월군,1
2681536,망경대산자연휴양림,A01,A0101,자연 경관이 뛰어난 만경대산 자연림휴양림,강원특별자치도,영월군,1
2549198,고씨동굴,A01,A0101,임진왜란 당시 피난처로 사용되었던 동굴,강원특별자치도,영월군,1
2707937,물치항,A01,A0101,일출이 아름다운 항구,강원특별자치도,양양군,1
129179,주문진 등대,A01,A0101,일출이 아름다운 강원도 최초의 등대,강원특별자치도,강릉시,1
2789822,창안산산림욕장,A01,A0101,일상 생활속 쾌적한 삶을 위한 휴식공간,강원특별자치도,화천군,1
125266,국립 청태산자연휴양림,A01,A0101,인공림과 자연림의 조화,강원특별자치도,횡성군,1
2715341,초곡항,A01,A0101,이국적이면서도 조용하고 한적한 삼척의 고즈넉한 항구,강원특별자치도,삼척시,1
127729,초곡해수욕장,A01,A0101,은빛 모래와 푸른 바다를 바라보며 휴식하기 좋은 해수욕장,강원특별자치도,삼척시,1
2764847,금진항,A01,A0101,유자망과 정치망 어업을 주로 하는 항,강원특별자치도,강릉시,1
2710835,북분리해수욕장,A01,A0101,위락 시설이 없어 조용한 캠핑을 즐기기에 최적,강원특별자치도,양양군,1
2657952,동화마을수목원,A01,A0101,원주시 최초 공립수목원,강원특별자치도,원주시,1
2669251,영월동강생태공원,A01,A0101,원시의 생태를 간직한 생태계의 보고,강원특별자치도,영월군,1
127845,괘병산(정선),A01,A0101,원시림이 울창하여 태고의 신비를 간직한 곳,강원특별자치도,정선군,1
2714537,원당계곡,A01,A0101,원시계곡의 아름다움을 고스란히 간직하고 있는 계곡,강원특별자치도,평창군,1
125674,육담폭포,A01,A0101,웅장한 산세 사이로 쏟아지는 물줄기가 아름다운 폭포,강원특별자치도,속초시,1
125420,국립 삼봉자연휴양림,A01,A0101,울창한 활엽수가 조화를 이룬 국립삼봉자연휴양림,강원특별자치도,홍천군,1
126602,비봉산(양구),A01,A0101,울창한 숲과 아름다운 일출이 일품인 비봉산,강원특별자치도,양구군,1
127499,방태산,A01,A0101,울창한 숲과 깨끗한 계곡을 간직한 곳,강원특별자치도,인제군,1
252567,죽도정&죽도 전망대,A01,A0101,울창한 송죽 속에서 즐기는 동해바다,강원특별자치도,양양군,1
126793,화진포(화진포호),A01,A0101,울창한 송림이 병풍처럼 펼쳐진 국내 최고의 석호,강원특별자치도,고성군,1
2714641,감추해변,A01,A0101,울창한 송림이 둘러싼 조용한 해변,강원특별자치도,동해시,1
128727,사근진해변(사근진해수욕장),A01,A0101,울창한 송림이 그늘막이 되어주는 아늑한 해변,강원특별자치도,강릉시,1
128758,강릉 경포해수욕장,A01,A0101,울창한 송림병풍과 해변의 조화가 아름다운 곳,강원특별자치도,강릉시,1
125687,상맹방해변,A01,A0101,울창한 송림과 맑은 바닷물이 일품인 해수욕장,강원특별자치도,삼척시,1
125651,공수전계곡,A01,A0101,"울창한 송림과 맑은 물, 하얀 자갈밭이 아름다운 계곡",강원특별자치도,양양군,1
125694,송정해변(송정해수욕장),A01,A0101,울창한 송림과 넓은 백사장을 즐길 수 있는 곳,강원특별자치도,강릉시,2
127728,원평해수욕장,A01,A0101,울창한 소나무 숲속 야영과 함께 즐기는 물놀이,강원특별자치도,삼척시,1
125682,북분리해수욕장,A01,A0101,울창한 소나무 숲과 깨끗한 모래사장이 있는 해수욕장,강원특별자치도,양양군,1
125740,황지연못,A01,A0101,우아한 경치를 자아내는 연못,강원특별자치도,태백시,1
561874,동송저수지,A01,A0101,우리나라에서 둑이 가장 긴 인공저수지,강원특별자치도,철원군,1
126732,용연동굴 (강원고생대 국가지질공원),A01,A0101,우리나라에서 가장 높은 동굴,강원특별자치도,태백시,1
125586,설악산국립공원(남설악),A01,A0101,우리나라에서 3번째로 높은 대청봉으로 빨리 갈 수 있는 코스,강원특별자치도,양양군,2
2508766,오대산국립공원,A01,A0101,우리나라 문수신앙의 성지,강원특별자치도,강릉시,1
125590,태백산 국립공원,A01,A0101,우리나라 22번째 국립공원,강원특별자치도,태백시,1
126905,가리산자연휴양림,A01,A0101,우거진 숲과 노송들이 기암괴석과 조화를 이루는 곳,강원특별자치도,홍천군,1
128096,용담계곡,A01,A0101,용이 머물다가 승천한 곳,강원특별자치도,화천군,1
2570207,능파대 (강원평화지역 국가지질공원),A01,A0101,용암이 빚어 놓은 드넓은 대지,강원특별자치도,고성군,1
126710,계족산(영월),A01,A0101,왕검성으로 오르는 길에서 바라보는 경치가 장관인 계족산,강원특별자치도,영월군,1
2715993,척산족욕공원,A01,A0101,온천수로 족욕을 하며 여행의 피로를 풀기에 좋은 곳,강원특별자치도,속초시,1
2702651,강변저류지,A01,A0101,온 가족이 즐길 수 있는 생태 관광지,강원특별자치도,영월군,2
877636,덕산기 계곡,A01,A0101,옥빛 자갈위로 맑고 깨끗한 물이 흐르는 계곡,강원특별자치도,정선군,1
128094,비수구미마을(비수구미계곡),A01,A0101,"오염되지 않은 청정자연을 보유하고 있는, 휴양과 낚시 등을 즐기기에 좋은 비수구미계곡",강원특별자치도,화천군,1
126776,명파해변,A01,A0101,오염되지 않은 자연의 소박함을 잘 간직한 해수욕장,강원특별자치도,고성군,1
125729,방아다리약수터,A01,A0101,오대산의 명수 방아다리약수터,강원특별자치도,평창군,1
125619,노인봉,A01,A0101,오대산국립공원에 속하는 산,강원특별자치도,강릉시,1
127828,발산,A01,A0101,영월읍의 진산,강원특별자치도,영월군,1
127587,삼포해변,A01,A0101,열려있는 은빛 백사장과 향긋한 바다 향기,강원특별자치도,고성군,1
2710737,내수면 생명 자원센터,A01,A0101,연어의 일생을 보며 삶을 배우는 내수면 생명자원센터,강원특별자치도,양양군,1
129268,영진항,A01,A0101,연어가 회귀하고 향좋은 은어가 많이 잡히는 연곡천 하류 북쪽에 있는 곳,강원특별자치도,강릉시,1
127809,횡성호,A01,A0101,여유롭게 걷기 좋은 둘레길,강원특별자치도,횡성군,1
687616,검봉산자연휴양림,A01,A0101,여름철 해변 휴양까지 즐길 수 있는 휴양림,강원특별자치도,삼척시,2
2613677,신대계곡,A01,A0101,여름철 계곡물에 발 담그기 좋은 곳,강원특별자치도,횡성군,1
125644,용수골계곡,A01,A0101,여름 더위마저 숨어버리는 시원한 계곡,강원특별자치도,원주시,1
252571,남대천,A01,A0101,"어머니의 강, 연어의 고향 남대천",강원특별자치도,양양군,1
2710820,설악해수욕장,A01,A0101,양양의 절경 속에 녹아드는 해수욕장,강원특별자치도,양양군,1
2710897,쌍천길,A01,A0101,양양과 속초를 가로지르는 자연 탐방로,강원특별자치도,속초시,1
2549260,심마니마을(가시오가피 마을),A01,A0101,약초를 재배하는 깨끗한 농촌마을,강원특별자치도,삼척시,1
2704698,만항재,A01,A0101,야생화가 조화를 이루는 천상의 화원,강원특별자치도,정선군,1
585591,염전해변,A01,A0101,애메랄드 빛으로 반짝이는 바다와 조용한 해변이 휴식하기 좋은 곳,강원특별자치도,강릉시,1
129000,추암 촛대바위,A01,A0102,애국가 첫 소절의 배경화면으로 유명하며 동해 해돋이 명소로도 손꼽히는<br />추암 촛대바위,강원특별자치도,동해시,1
2778005,동아실계곡,A01,A0101,암절벽 사이로 작은 폭포와 소를 이루는 풍광,강원특별자치도,인제군,1
126840,검룡소 (강원고생대 국가지질공원),A01,A0101,암반 위를 용이 기어가듯 흘러내린다,강원특별자치도,태백시,1
125779,영금정,A01,A0101,암반 위 구름다리 끝에 세워진 정자에 해변 경관을 감상할 수 있는 곳,강원특별자치도,속초시,2
126691,봉수대해변,A01,A0101,알뜰 피서객들이 많이 찾는 봉수대해변,강원특별자치도,고성군,1
125631,구만동계곡,A01,A0101,아이들과 놀기 좋은 계곡,강원특별자치도,인제군,1
125662,옥녀탕,A01,A0101,아름답기로 유명한 옥녀탕,강원특별자치도,인제군,1
125710,임원해변,A01,A0101,아름다운 해안 풍경과 조용한 해변이 있는 해수욕장,강원특별자치도,삼척시,1
2782786,교암리해수욕장,A01,A0101,아름다운 풍경과 한적한 바다를 즐길 수 있는 곳,강원특별자치도,고성군,2
127722,안목해변,A01,A0101,아름다운 커피거리로 전국에서도 손꼽히는 곳,강원특별자치도,강릉시,1
126643,대승령과 대승폭포,A01,A0101,아름다운 자연이 조화롭게 어우러져 멋있는 자연풍경을 이루는 곳,강원특별자치도,인제군,1
125777,아우라지,A01,A0101,아름다운 자연이 어우러지는 곳,강원특별자치도,정선군,1
129596,대포항,A01,A0101,아름다운 자연의 조화와 싱싱하고 신선한 생선을 즐기고 싶다면 대포항이 딱!,강원특별자치도,속초시,1
125641,덕풍계곡,A01,A0101,아름다운 자연을 느끼며 트레킹 하기 좋은 곳,강원특별자치도,삼척시,1
2715405,봉황산산림욕장,A01,A0101,아름다운 자연경관과 쾌적한 휴식공간을 제공하는 산림욕장,강원특별자치도,삼척시,1
126657,흥정계곡,A01,A0101,아름다운 자연경관과 맑은 물이 흐르는 곳,강원특별자치도,평창군,1
407225,국립 용화산자연휴양림,A01,A0101,아름다운 자연 속에서 동식물이 조화롭게 있는 휴양림,강원특별자치도,춘천시,1
2569512,화천조경철천문대,A01,A0101,아름다운 은하와 쏟아지는 별빛의 세계!,강원특별자치도,화천군,1
129262,서강,A01,A0101,아름다운 산세와 들판을 감싸 안으며 흐르는 서강,강원특별자치도,영월군,1
125719,작은후진해수욕장,A01,A0101,아담한 어촌마을에 자리잡은 조용한 해수욕장,강원특별자치도,삼척시,0
1932003,외옹치해변,A01,A0101,아담하지만 푸르른 바다를 품고있는 해수욕장,강원특별자치도,속초시,1
2704849,봉포항,A01,A0101,아늑하고 아름다운 항구,강원특별자치도,고성군,1
2727740,반암항,A01,A0101,싱그러운 바다향기가 가득한 어항,강원특별자치도,고성군,1
128749,거진항,A01,A0101,신선한 해산물이 가득한 항구,강원특별자치도,고성군,1
250359,비선대,A01,A0102,신선이 노닐다 승천한 곳,강원특별자치도,속초시,1
2616507,고성 제3기 현무암 (강원평화지역 국가지질공원),A01,A0102,신생대 제3기 알칼리 현무암 분포지역,강원특별자치도,고성군,1
125604,삼악산(춘천),A01,A0101,신비로운 기암괴석과 폭포가 아름다운 곳,강원특별자치도,춘천시,1
125730,금강굴,A01,A0101,신라시대의 고승 원효(元曉)가 수도한 곳,강원특별자치도,속초시,1
2749319,고석정 꽃밭,A01,A0101,시즌별 다양한 매력의 꽃밭,강원특별자치도,철원군,1
125744,판대천,A01,A0101,시적인 풍경을 담고있는 아름다운 판대천,강원특별자치도,원주시,1
2714618,38해변,A01,A0101,시원한 파도를 타며 서핑하기 좋은 해수욕장,강원특별자치도,양양군,1
2799025,강따라 방림 가는길,A01,A0101,시원한 바람을 가르며 맞는 자연의 정취,강원특별자치도,평창군,1
125625,담터계곡,A01,A0101,시원한 물줄기와 가을 단풍이 아름다운 계곡,강원특별자치도,철원군,1
126629,진동계곡,A01,A0101,시원한 물줄기에 마음도 편해지는 곳,강원특별자치도,인제군,1
129176,묵호등대,A01,A0101,시원한 동해바다가 한 눈에 들어오는 곳,강원특별자치도,동해시,1
647272,용소폭포(연하계곡),A01,A0101,시원하게 쏟아지는 물줄기와 단풍이 아름다운 폭포,강원특별자치도,영월군,1
129467,용대 매바위 인공폭포,A01,A0101,시원하게 쏟아지는 물줄기가 더위까지 날려버리는 곳,강원특별자치도,인제군,1
